level_0,index,Player,Age,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors,Club,Position,Nation,Value
48,2139,Diogo Dalot,23,26,24,"2,154",1.0,2.0,0.0,6.0,0.0,22,7,31.8,0.05,0.14,19.9,0.0,1141.0,1441.0,79.2,20816.0,6349.0,52.0,2.17,48.0,0.0,1.0,2.0,0.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,54.0,41,33.0,73.3,25.0,37,91.0,55.0,2.0,Manchester United,Defender,Portugal,20000000.0
42,1157,Stanislav Lobotka,27,38,34,"3,101",1.0,1.0,0.0,2.0,0.0,11,4,36.4,0.09,0.25,22.3,0.0,2163.0,2301.0,94.0,35855.0,8577.0,70.0,2.03,58.0,1.0,1.0,2.0,5.0,3.0,8.0,0.23,6.0,1.0,0.0,1.0,0.0,0.0,83.0,44,43.0,58.9,29.0,23,106.0,16.0,0.0,SSC Napoli,midfield,Slovakia,20000000.0
43,2238,Rafael Leao,23,35,28,"2,421",15.0,8.0,0.0,7.0,1.0,92,29,31.5,0.16,0.52,17.9,0.0,595.0,845.0,70.4,10191.0,3212.0,123.0,4.57,80.0,3.0,24.0,8.0,8.0,0.0,18.0,0.67,12.0,1.0,4.0,0.0,1.0,0.0,8.0,7,6.0,42.9,9.0,15,23.0,8.0,0.0,AC Milan,Attack,Portugal,20000000.0
44,1970,Marcus Rashford,24,35,32,"2,879",17.0,5.0,0.0,2.0,0.0,108,49,45.4,0.16,0.35,16.4,7.0,627.0,817.0,76.7,8886.0,2180.0,98.0,3.06,61.0,1.0,17.0,14.0,4.0,1.0,14.0,0.44,8.0,0.0,3.0,2.0,1.0,0.0,20.0,10,9.0,37.5,31.0,7,27.0,14.0,0.0,Manchester United,Attack,England,20000000.0
46,2273,Cheick Doucoure,22,34,34,"2,769",0.0,3.0,0.0,10.0,1.0,36,7,19.4,0.0,0.0,24.6,0.0,1038.0,1247.0,83.2,17432.0,5352.0,61.0,1.98,48.0,0.0,2.0,5.0,2.0,4.0,6.0,0.2,4.0,0.0,0.0,1.0,0.0,1.0,77.0,46,29.0,55.8,47.0,56,133.0,48.0,0.0,Crystal Palace,midfield,Mali,20000000.0
47,2229,Kylian Mbappe,23,34,32,"2,818",29.0,5.0,3.0,6.0,0.0,144,73,50.7,0.18,0.36,15.9,1.0,1096.0,1355.0,80.9,14622.0,3137.0,143.0,4.57,96.0,3.0,19.0,15.0,10.0,0.0,23.0,0.73,12.0,0.0,4.0,5.0,2.0,0.0,10.0,4,5.0,31.3,5.0,5,15.0,6.0,0.0,Paris Saint-Germain,Attack,France,20000000.0
52,1668,Sofyan Amrabat,25,29,24,"1,998",0.0,1.0,0.0,11.0,0.0,13,4,30.8,0.0,0.0,26.6,0.0,1323.0,1490.0,88.8,26717.0,7147.0,44.0,1.98,38.0,0.0,0.0,0.0,2.0,4.0,4.0,0.18,3.0,0.0,0.0,0.0,0.0,1.0,39.0,24,16.0,55.2,23.0,21,60.0,18.0,2.0,ACF Fiorentina,midfield,Morocco,20000000.0
45,2969,Pedri,19,26,22,"1,976",6.0,1.0,0.0,2.0,0.0,22,9,40.9,0.27,0.67,15.9,0.0,1251.0,1449.0,86.3,22516.0,4967.0,87.0,3.96,74.0,6.0,1.0,2.0,3.0,1.0,11.0,0.5,11.0,0.0,0.0,0.0,0.0,0.0,39.0,22,13.0,28.9,27.0,13,52.0,8.0,1.0,FC Barcelona,midfield,Spain,20000000.0
50,2304,Phil Foden,22,32,22,"1,842",11.0,6.0,0.0,1.0,0.0,46,22,47.8,0.24,0.5,15.3,1.0,904.0,1111.0,81.4,13670.0,2403.0,99.0,4.83,76.0,9.0,6.0,5.0,3.0,0.0,14.0,0.68,10.0,0.0,3.0,0.0,1.0,0.0,16.0,10,8.0,42.1,25.0,5,21.0,12.0,0.0,Manchester City,Attack,England,20000000.0
51,2061,Ronald Araujo,23,22,21,"1,800",0.0,2.0,0.0,5.0,1.0,18,1,5.6,0.0,0.0,13.1,0.0,1139.0,1287.0,88.5,21762.0,7324.0,18.0,0.9,15.0,0.0,0.0,3.0,0.0,0.0,6.0,0.3,5.0,0.0,0.0,1.0,0.0,0.0,26.0,18,6.0,66.7,15.0,12,38.0,41.0,1.0,FC Barcelona,Defender,Uruguay,20000000.0
53,2022,Dayot Upamecano,23,29,27,"2,348",0.0,1.0,0.0,6.0,1.0,7,1,14.3,0.0,0.0,9.0,0.0,2101.0,2318.0,90.6,42619.0,15514.0,23.0,0.88,22.0,0.0,0.0,1.0,0.0,0.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,65.0,37,28.0,62.2,26.0,27,92.0,71.0,4.0,Bayern Munich,Defender,France,20000000.0
54,2507,Diogo Costa,22,33,33,"2,970",0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1008.0,1274.0,79.1,28135.0,19303.0,6.0,0.18,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,17.0,4.0,FC Porto,Goalkeeper,Portugal,20000000.0
49,2524,Jeremie Frimpong,21,34,32,"2,708",8.0,7.0,0.0,4.0,0.0,38,19,50.0,0.21,0.42,11.9,0.0,982.0,1232.0,79.7,12784.0,3814.0,103.0,3.42,65.0,2.0,20.0,6.0,10.0,0.0,16.0,0.53,9.0,0.0,5.0,0.0,2.0,0.0,53.0,27,23.0,52.3,24.0,16,69.0,40.0,0.0,Bayer 04 Leverkusen,Defender,Netherlands,20000000.0
57,1928,Lisandro Martinez,24,27,24,"2,114",1.0,0.0,0.0,6.0,0.0,10,1,10.0,0.1,1.0,14.8,0.0,1330.0,1528.0,87.0,23895.0,8188.0,18.0,0.77,16.0,0.0,0.0,1.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,54.0,28,30.0,69.8,51.0,33,87.0,103.0,0.0,Manchester United,Defender,Argentina,18000000.0
55,2797,Piero Hincapie,20,30,27,"2,457",1.0,1.0,0.0,13.0,3.0,17,6,35.3,0.06,0.17,16.6,0.0,1480.0,1798.0,82.3,23892.0,7623.0,21.0,0.77,17.0,0.0,1.0,1.0,1.0,1.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,51.0,34,25.0,65.8,41.0,31,82.0,83.0,1.0,Bayer 04 Leverkusen,Defender,Ecuador,18000000.0
56,1848,Eberechi Eze,24,38,30,"2,636",10.0,4.0,1.0,3.0,0.0,70,25,35.7,0.13,0.36,21.9,14.0,923.0,1178.0,78.4,14106.0,3902.0,118.0,4.03,69.0,21.0,11.0,4.0,11.0,2.0,16.0,0.55,9.0,1.0,5.0,0.0,1.0,0.0,42.0,24,18.0,47.4,22.0,13,55.0,10.0,0.0,Crystal Palace,midfield,England,18000000.0
58,2810,Nico Williams,20,36,32,"2,656",6.0,4.0,0.0,3.0,0.0,61,20,32.8,0.1,0.3,17.7,1.0,634.0,951.0,66.7,9342.0,2394.0,105.0,3.56,66.0,12.0,18.0,4.0,4.0,1.0,9.0,0.31,5.0,0.0,2.0,1.0,1.0,0.0,31.0,16,19.0,46.3,40.0,8,39.0,14.0,1.0,Athletic Bilbao,Attack,Spain,18000000.0
61,2412,Perr Schuurs,22,30,28,"2,326",0.0,2.0,0.0,5.0,0.0,14,1,7.1,0.0,0.0,14.9,2.0,1058.0,1201.0,88.1,20819.0,6259.0,20.0,0.77,14.0,0.0,3.0,1.0,1.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,51.0,25,14.0,53.8,28.0,28,79.0,102.0,0.0,Torino FC,Defender,Netherlands,18000000.0
60,2764,Kevin Schade,20,18,7,732,0.0,1.0,0.0,2.0,0.0,12,4,33.3,0.0,0.0,11.9,0.0,103.0,173.0,59.5,1282.0,285.0,27.0,3.32,15.0,0.0,6.0,2.0,4.0,0.0,4.0,0.49,3.0,0.0,1.0,0.0,0.0,0.0,12.0,8,5.0,50.0,7.0,4,16.0,6.0,0.0,Brentford FC,Attack,Germany,18000000.0
62,3077,Mathys Tel,17,22,1,417,5.0,0.0,0.0,2.0,0.0,20,11,55.0,0.25,0.45,15.0,0.0,126.0,157.0,80.3,1824.0,257.0,16.0,3.46,12.0,0.0,1.0,3.0,0.0,0.0,2.0,0.43,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2,1.0,100.0,5.0,0,2.0,2.0,0.0,Bayern Munich,Attack,France,18000000.0
59,2542,Anthony Gordon,21,16,12,"1,095",3.0,0.0,0.0,6.0,0.0,26,16,61.5,0.12,0.19,16.6,1.0,193.0,280.0,68.9,2905.0,625.0,23.0,1.89,13.0,0.0,1.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,22,8.0,34.8,19.0,4,38.0,11.0,0.0,Newcastle United,Attack,England,18000000.0
63,2685,Takefusa Kubo,21,35,29,"2,439",9.0,4.0,0.0,3.0,0.0,72,30,41.7,0.13,0.3,17.8,3.0,621.0,875.0,71.0,8389.0,2340.0,96.0,3.55,63.0,10.0,7.0,5.0,10.0,1.0,11.0,0.41,6.0,0.0,2.0,0.0,2.0,1.0,44.0,26,16.0,42.1,29.0,9,53.0,4.0,0.0,Real Sociedad,Attack,Japan,17500000.0
66,2602,Jacob Ramsey,21,35,31,"2,636",6.0,7.0,0.0,5.0,0.0,33,13,39.4,0.18,0.46,15.9,0.0,728.0,889.0,81.9,10240.0,2665.0,81.0,2.76,69.0,0.0,4.0,2.0,5.0,1.0,11.0,0.38,8.0,0.0,1.0,1.0,1.0,0.0,69.0,39,32.0,46.4,48.0,23,92.0,34.0,0.0,Aston Villa,midfield,England,17000000.0
67,2704,Alex Baena,21,35,19,"1,947",6.0,2.0,0.0,13.0,1.0,62,22,35.5,0.1,0.27,22.6,3.0,681.0,859.0,79.3,11154.0,3034.0,79.0,3.65,58.0,0.0,8.0,8.0,5.0,0.0,8.0,0.37,5.0,0.0,0.0,2.0,1.0,0.0,30.0,17,15.0,33.3,15.0,7,37.0,16.0,0.0,Villarreal CF,midfield,Spain,17000000.0
68,1886,Federico Dimarco,24,33,26,"2,069",4.0,3.0,0.0,0.0,0.0,49,15,30.6,0.08,0.27,20.7,7.0,925.0,1257.0,73.6,17591.0,5969.0,103.0,4.48,64.0,29.0,1.0,5.0,3.0,1.0,8.0,0.35,6.0,0.0,1.0,1.0,0.0,0.0,31.0,25,9.0,47.4,15.0,18,49.0,20.0,0.0,Inter Milan,Defender,Italy,17000000.0
69,2958,Bradley Barcola,19,26,15,"1,440",5.0,8.0,0.0,3.0,0.0,27,13,48.1,0.19,0.38,13.6,0.0,324.0,466.0,69.5,4152.0,1140.0,39.0,2.44,32.0,0.0,4.0,2.0,0.0,1.0,10.0,0.63,10.0,0.0,0.0,0.0,0.0,0.0,25.0,16,8.0,20.5,29.0,19,44.0,10.0,0.0,Olympique Lyon,Attack,France,17000000.0
64,1148,Nathan Ake,27,26,22,"1,873",1.0,0.0,0.0,2.0,0.0,9,2,22.2,0.11,0.5,10.5,0.0,1639.0,1813.0,90.4,26199.0,8953.0,24.0,1.15,20.0,1.0,0.0,2.0,0.0,1.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,26.0,12,11.0,73.3,20.0,20,46.0,48.0,0.0,Manchester City,Defender,Netherlands,17000000.0
65,1685,Oleksandr Zinchenko,25,27,26,"2,118",1.0,2.0,0.0,3.0,0.0,28,7,25.0,0.04,0.14,22.7,0.0,1652.0,1911.0,86.4,27023.0,7899.0,56.0,2.38,49.0,1.0,0.0,4.0,1.0,1.0,4.0,0.17,3.0,0.0,0.0,1.0,0.0,0.0,40.0,18,21.0,53.8,20.0,22,62.0,38.0,2.0,Arsenal FC,Defender,Ukraine,17000000.0
70,2858,Michael Olise,20,37,31,"2,749",2.0,11.0,0.0,2.0,0.0,51,14,27.5,0.04,0.14,21.1,7.0,985.0,1420.0,69.4,16792.0,5022.0,143.0,4.68,75.0,37.0,15.0,4.0,9.0,3.0,13.0,0.43,9.0,4.0,0.0,0.0,0.0,0.0,58.0,34,25.0,41.7,46.0,26,84.0,17.0,0.0,Crystal Palace,Attack,France,16000000.0
71,2353,Joe Willock,22,35,31,"2,558",3.0,6.0,0.0,1.0,0.0,58,16,27.6,0.05,0.19,16.9,0.0,777.0,951.0,81.7,12123.0,3082.0,85.0,2.99,67.0,0.0,7.0,7.0,3.0,1.0,9.0,0.32,6.0,0.0,1.0,1.0,1.0,0.0,51.0,30,25.0,43.1,54.0,25,76.0,17.0,0.0,Newcastle United,midfield,England,16000000.0
72,922,Miguel Almiron,28,34,29,"2,491",11.0,2.0,0.0,2.0,0.0,69,20,29.0,0.16,0.55,16.4,0.0,811.0,982.0,82.6,10752.0,2657.0,87.0,3.14,63.0,2.0,10.0,9.0,3.0,0.0,13.0,0.47,5.0,1.0,5.0,2.0,0.0,0.0,46.0,30,18.0,42.9,25.0,10,56.0,17.0,0.0,Newcastle United,Attack,Paraguay,16000000.0
75,2104,Marcus Edwards,23,33,27,"2,252",7.0,5.0,0.0,4.0,0.0,52,17,32.7,0.13,0.41,15.9,1.0,731.0,966.0,75.7,11150.0,3028.0,127.0,5.08,87.0,11.0,16.0,6.0,6.0,1.0,18.0,0.72,12.0,0.0,3.0,2.0,1.0,0.0,14.0,10,5.0,17.2,7.0,5,19.0,2.0,0.0,Sporting CP,Attack,England,15000000.0
74,2701,Giorgi Mamardashvili,21,38,38,"3,420",0.0,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,697.0,1086.0,64.2,20406.0,15742.0,4.0,0.11,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1.0,11.0,4.0,Valencia CF,Goalkeeper,Georgia,15000000.0
73,2937,Florian Wirtz,19,17,11,"1,090",1.0,6.0,0.0,4.0,0.0,7,4,57.1,0.14,0.25,18.6,0.0,473.0,634.0,74.6,7333.0,2166.0,64.0,5.28,47.0,8.0,5.0,1.0,3.0,0.0,8.0,0.66,7.0,0.0,1.0,0.0,0.0,0.0,18.0,10,8.0,50.0,15.0,1,19.0,6.0,0.0,Bayer 04 Leverkusen,midfield,Germany,15000000.0
76,1040,Joao Palhinha,27,35,35,"3,108",3.0,0.0,0.0,14.0,0.0,39,9,23.1,0.08,0.33,17.2,0.0,1051.0,1274.0,82.5,18222.0,4336.0,30.0,0.87,21.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,83,71.0,53.0,48.0,46,193.0,61.0,2.0,Fulham FC,midfield,Portugal,15000000.0
77,2298,Pedro Porro,22,14,12,"1,074",2.0,6.0,1.0,4.0,1.0,35,9,25.7,0.03,0.11,23.7,5.0,520.0,744.0,69.9,9629.0,3025.0,53.0,4.45,34.0,9.0,4.0,2.0,4.0,0.0,9.0,0.76,7.0,0.0,0.0,2.0,0.0,0.0,19.0,15,13.0,52.0,10.0,8,27.0,13.0,0.0,Tottenham Hotspur,Defender,Spain,15000000.0
78,2376,Sven Botman,22,36,35,"3,127",0.0,0.0,0.0,2.0,0.0,22,7,31.8,0.0,0.0,10.2,0.0,1527.0,1765.0,86.5,30660.0,11233.0,24.0,0.69,18.0,1.0,0.0,5.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,38.0,24,22.0,78.6,44.0,34,72.0,126.0,2.0,Newcastle United,Defender,Netherlands,15000000.0
79,1823,Nahuel Molina,24,33,33,"2,867",4.0,2.0,0.0,7.0,1.0,21,6,28.6,0.19,0.67,17.0,0.0,1452.0,1930.0,75.2,21725.0,8461.0,92.0,2.89,83.0,5.0,2.0,0.0,1.0,1.0,6.0,0.19,5.0,0.0,0.0,0.0,1.0,0.0,69.0,43,39.0,42.9,38.0,18,87.0,63.0,1.0,Atlético de Madrid,Defender,Argentina,15000000.0
85,1993,Beto,24,33,23,"2,129",10.0,1.0,1.0,2.0,0.0,60,20,33.3,0.15,0.45,13.7,0.0,190.0,299.0,63.5,2421.0,295.0,49.0,2.07,31.0,0.0,8.0,5.0,5.0,0.0,4.0,0.17,3.0,0.0,1.0,0.0,0.0,0.0,16.0,9,4.0,23.5,18.0,6,22.0,30.0,0.0,Udinese Calcio,Attack,Portugal,15000000.0
81,3092,Youssoufa Moukoko,17,26,11,"1,141",7.0,3.0,0.0,0.0,0.0,35,19,54.3,0.2,0.37,14.9,0.0,142.0,202.0,70.3,1813.0,340.0,29.0,2.29,19.0,0.0,7.0,2.0,1.0,0.0,7.0,0.55,5.0,0.0,2.0,0.0,0.0,0.0,13.0,7,3.0,50.0,9.0,2,15.0,1.0,0.0,Borussia Dortmund,Attack,Germany,15000000.0
82,2471,Jonathan David,22,37,36,"3,166",24.0,4.0,10.0,6.0,0.0,95,44,46.3,0.15,0.32,15.8,0.0,716.0,875.0,81.8,9883.0,2246.0,116.0,3.3,84.0,0.0,6.0,13.0,11.0,2.0,13.0,0.37,9.0,0.0,0.0,2.0,2.0,0.0,24.0,17,10.0,37.0,20.0,8,32.0,13.0,0.0,LOSC Lille,Attack,Canada,15000000.0
83,1978,Ben White,24,38,36,"3,055",2.0,5.0,0.0,5.0,0.0,10,2,20.0,0.2,1.0,16.7,0.0,1888.0,2242.0,84.2,31271.0,10700.0,64.0,1.89,56.0,7.0,0.0,0.0,1.0,0.0,13.0,0.38,12.0,1.0,0.0,0.0,0.0,0.0,60.0,31,42.0,60.0,47.0,22,82.0,79.0,1.0,Arsenal FC,Defender,England,15000000.0
84,2283,Oihan Sancet,22,36,32,"2,532",10.0,2.0,2.0,6.0,1.0,56,19,33.9,0.14,0.42,17.6,0.0,788.0,975.0,80.8,11658.0,3001.0,95.0,3.38,76.0,1.0,7.0,5.0,5.0,1.0,6.0,0.21,4.0,0.0,0.0,1.0,1.0,0.0,27.0,16,11.0,29.7,10.0,4,31.0,9.0,1.0,Athletic Bilbao,midfield,Spain,15000000.0
80,2405,Salis Abdul Samed,22,33,33,"2,894",1.0,1.0,0.0,6.0,1.0,13,4,30.8,0.08,0.25,19.1,0.0,1819.0,1981.0,91.8,28679.0,7020.0,50.0,1.55,43.0,0.0,2.0,2.0,2.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,46.0,26,29.0,55.8,38.0,36,82.0,26.0,0.0,RC Lens,midfield,Ghana,15000000.0
86,1228,Julian Brandt,26,32,29,"2,397",9.0,8.0,0.0,2.0,0.0,42,26,61.9,0.21,0.35,18.0,1.0,1053.0,1368.0,77.0,16552.0,4185.0,133.0,4.99,87.0,32.0,6.0,2.0,5.0,1.0,20.0,0.75,14.0,3.0,1.0,0.0,2.0,0.0,29.0,20,12.0,27.9,23.0,15,44.0,9.0,1.0,Borussia Dortmund,midfield,Germany,15000000.0
87,3097,Desire Doue,17,26,11,"1,115",3.0,1.0,0.0,5.0,0.0,21,6,28.6,0.14,0.5,21.0,0.0,351.0,453.0,77.5,6004.0,1339.0,35.0,2.82,23.0,3.0,3.0,1.0,3.0,2.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,37.0,18,13.0,40.6,17.0,13,50.0,3.0,0.0,Stade Rennais FC,midfield,France,14600000.0
88,2299,Mats Wieffer,22,25,18,"1,673",1.0,5.0,0.0,5.0,0.0,23,3,13.0,0.04,0.33,15.5,0.0,1075.0,1302.0,82.6,17609.0,4835.0,64.0,3.45,57.0,0.0,2.0,1.0,1.0,3.0,9.0,0.48,9.0,0.0,0.0,0.0,0.0,0.0,50.0,29,23.0,39.7,26.0,26,76.0,37.0,0.0,Feyenoord Rotterdam,midfield,Netherlands,14600000.0
89,1820,Nicolo Casale,24,29,27,"2,437",1.0,1.0,0.0,6.0,0.0,8,2,25.0,0.13,0.5,10.9,0.0,1485.0,1616.0,91.9,26275.0,9500.0,12.0,0.44,10.0,1.0,0.0,1.0,0.0,0.0,4.0,0.15,3.0,0.0,0.0,1.0,0.0,0.0,42.0,20,22.0,64.7,25.0,17,59.0,73.0,1.0,SS Lazio,Defender,Italy,14500000.0
90,3016,Milos Kerkez,18,33,33,"2,671",3.0,1.0,0.0,4.0,0.0,25,9,36.0,0.12,0.33,20.0,0.0,1270.0,1592.0,79.8,20376.0,5650.0,72.0,2.43,54.0,2.0,5.0,3.0,5.0,3.0,3.0,0.1,2.0,0.0,1.0,0.0,0.0,0.0,54.0,32,29.0,59.2,39.0,31,85.0,59.0,0.0,AZ Alkmaar,Defender,Hungary,14300000.0
91,2963,Tommaso Baldanzi,19,26,24,"1,772",4.0,0.0,0.0,2.0,0.0,33,12,36.4,0.12,0.33,20.1,0.0,534.0,647.0,82.5,7465.0,1747.0,60.0,3.04,38.0,2.0,7.0,5.0,8.0,0.0,4.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,25.0,12,7.0,21.9,21.0,2,27.0,5.0,0.0,FC Empoli,midfield,Italy,14200000.0
92,1620,Max Kilman,25,37,37,"3,307",0.0,0.0,0.0,3.0,0.0,14,0,0.0,0.0,0.0,10.1,0.0,1748.0,2107.0,83.0,34713.0,12450.0,23.0,0.63,20.0,0.0,0.0,2.0,1.0,0.0,2.0,0.05,1.0,0.0,0.0,1.0,0.0,0.0,36.0,20,16.0,53.3,70.0,19,55.0,164.0,1.0,Wolverhampton Wanderers,Defender,England,14000000.0
93,2450,Enzo Le Fee,22,35,35,"3,028",5.0,6.0,0.0,5.0,0.0,45,18,40.0,0.11,0.28,23.4,8.0,1708.0,2118.0,80.6,28806.0,9189.0,120.0,3.57,79.0,27.0,5.0,4.0,4.0,1.0,11.0,0.33,5.0,5.0,0.0,1.0,0.0,0.0,108.0,64,43.0,38.1,50.0,34,142.0,38.0,1.0,Stade Rennais FC,midfield,France,14000000.0
94,1297,Andre Silva,26,31,20,"1,738",4.0,3.0,0.0,3.0,0.0,60,22,36.7,0.07,0.18,13.5,0.0,349.0,477.0,73.2,4277.0,862.0,63.0,3.26,46.0,0.0,4.0,7.0,6.0,0.0,10.0,0.52,7.0,0.0,0.0,3.0,0.0,0.0,12.0,6,3.0,37.5,11.0,3,15.0,3.0,0.0,RB Leipzig,Attack,Portugal,13800000.0
101,2616,Orkun Kokcu,21,32,31,"2,696",8.0,2.0,2.0,6.0,0.0,82,29,35.4,0.07,0.21,25.5,21.0,2044.0,2510.0,81.4,36150.0,12660.0,196.0,6.55,131.0,43.0,7.0,11.0,4.0,0.0,15.0,0.5,9.0,1.0,2.0,2.0,1.0,0.0,39.0,18,17.0,37.8,16.0,19,58.0,16.0,0.0,SL Benfica,midfield,Turkey,13000000.0
95,2375,Bryan Mbeumo,22,38,36,"2,906",9.0,8.0,1.0,5.0,0.0,70,32,45.7,0.11,0.25,16.3,1.0,655.0,991.0,66.1,10466.0,3238.0,97.0,3.0,62.0,27.0,7.0,0.0,1.0,0.0,15.0,0.46,12.0,2.0,1.0,0.0,0.0,0.0,26.0,18,8.0,19.0,24.0,13,39.0,21.0,0.0,Brentford FC,Attack,Cameroon,13000000.0
96,1768,Edson Alvarez,24,31,30,"2,586",3.0,3.0,0.0,10.0,0.0,63,18,28.6,0.05,0.17,15.1,0.0,2138.0,2411.0,88.7,37145.0,12004.0,58.0,2.02,47.0,0.0,1.0,8.0,2.0,0.0,8.0,0.28,6.0,0.0,0.0,2.0,0.0,0.0,71.0,40,44.0,61.1,36.0,36,107.0,76.0,1.0,Ajax Amsterdam,midfield,Mexico,13000000.0
97,1898,Danilho Doekhi,24,25,25,"2,216",5.0,1.0,0.0,0.0,0.0,17,9,52.9,0.29,0.56,11.6,0.0,756.0,955.0,79.2,13777.0,4912.0,21.0,0.85,19.0,0.0,0.0,0.0,2.0,0.0,3.0,0.12,2.0,0.0,0.0,0.0,1.0,0.0,38.0,23,14.0,53.8,27.0,29,67.0,93.0,0.0,1.FC Union Berlin,Defender,Netherlands,13000000.0
98,1948,Gregor Kobel,24,27,27,"2,430",0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,871.0,1049.0,83.0,22004.0,13496.0,4.0,0.15,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,7.0,2.0,Borussia Dortmund,Goalkeeper,Switzerland,13000000.0
99,2991,Malo Gusto,19,21,19,"1,595",0.0,1.0,0.0,1.0,0.0,7,3,42.9,0.0,0.0,20.9,0.0,1171.0,1437.0,81.5,18951.0,6105.0,50.0,2.82,42.0,2.0,4.0,0.0,2.0,0.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,42.0,26,21.0,48.8,22.0,28,70.0,23.0,1.0,Chelsea FC,Defender,France,13000000.0
102,2240,Kevin Danso,23,37,37,"3,232",1.0,2.0,0.0,7.0,1.0,24,4,16.7,0.04,0.25,14.9,0.0,2103.0,2336.0,90.0,39503.0,14272.0,41.0,1.14,38.0,0.0,1.0,0.0,2.0,0.0,5.0,0.14,4.0,0.0,0.0,0.0,1.0,0.0,37.0,19,19.0,63.3,48.0,33,70.0,124.0,0.0,RC Lens,Defender,Austria,13000000.0
103,1721,Axel Disasi,24,38,37,"3,330",3.0,3.0,0.0,3.0,0.0,28,9,32.1,0.11,0.33,15.4,0.0,1630.0,1957.0,83.3,32964.0,12826.0,26.0,0.7,22.0,1.0,0.0,2.0,0.0,1.0,6.0,0.16,5.0,0.0,0.0,1.0,0.0,0.0,30.0,20,13.0,48.1,51.0,56,86.0,112.0,2.0,AS Monaco,Defender,France,13000000.0
104,1665,Boulaye Dia,25,33,27,"2,518",16.0,6.0,1.0,4.0,0.0,47,21,44.7,0.32,0.71,15.0,0.0,449.0,589.0,76.2,6689.0,1268.0,64.0,2.29,53.0,0.0,3.0,5.0,3.0,0.0,9.0,0.32,8.0,0.0,1.0,0.0,0.0,0.0,12.0,5,2.0,28.6,10.0,7,19.0,27.0,1.0,US Salernitana 1919,Attack,Senegal,13000000.0
105,2309,Lutsharel Geertruida,22,30,29,"2,572",3.0,2.0,0.0,1.0,0.0,26,8,30.8,0.12,0.38,17.7,0.0,1844.0,2043.0,90.3,32210.0,9930.0,66.0,2.31,60.0,2.0,1.0,1.0,2.0,0.0,7.0,0.25,6.0,0.0,1.0,0.0,0.0,0.0,48.0,34,21.0,75.0,12.0,31,79.0,48.0,1.0,Feyenoord Rotterdam,Defender,Netherlands,13000000.0
100,2574,Felix Nmecha,21,30,19,"1,836",3.0,5.0,0.0,3.0,0.0,37,9,24.3,0.08,0.33,17.1,0.0,534.0,706.0,75.6,9025.0,2662.0,50.0,2.45,38.0,0.0,3.0,3.0,4.0,2.0,7.0,0.34,6.0,0.0,0.0,0.0,1.0,0.0,41.0,24,16.0,47.1,26.0,25,66.0,31.0,0.0,Borussia Dortmund,midfield,Germany,13000000.0
